,T_K,n_pas,TVF_calc,TVF_RMSE,AG_calc,AG_RMSE
0,830.05,12.6,12.69,0.09,12.71,0.11
1,834.15,12.45,12.47,0.02,12.48,0.03
2,843.95,11.91,11.96,0.05,11.97,0.06
3,855.45,11.4,11.42,0.02,11.42,0.02
4,864.95,11.0,11.0,0.0,10.99,0.01
5,865.95,10.99,10.95,0.04,10.95,0.04
6,870.75,10.82,10.75,0.07,10.74,0.08
7,880.85,10.38,10.34,0.04,10.33,0.05
8,886.15,10.21,10.14,0.07,10.13,0.08
9,894.55,9.85,9.83,0.02,9.82,0.03
10,896.15,9.83,9.77,0.06,9.76,0.07
11,1109.65,5.01,5.08,0.06,5.08,0.06
12,1111.45,5.01,5.05,0.04,5.05,0.05
13,1126.25,4.81,4.86,0.05,4.86,0.05
14,1177.65,4.23,4.25,0.02,4.26,0.03
15,1213.95,3.85,3.88,0.03,3.89,0.04
16,1248.95,3.54,3.56,0.02,3.57,0.03
17,1288.65,3.22,3.23,0.01,3.24,0.02
18,1333.15,2.9,2.91,0.01,2.92,0.02
19,1345.75,2.85,2.82,0.03,2.83,0.02
20,1395.05,2.51,2.51,0.0,2.52,0.01
21,1459.05,2.17,2.15,0.01,2.16,0.01
22,1480.35,2.06,2.05,0.02,2.05,0.01
23,1508.45,1.91,1.91,0.0,1.92,0.0
24,1531.55,1.82,1.81,0.01,1.81,0.01
25,1558.15,1.71,1.69,0.01,1.69,0.01
26,1568.85,1.67,1.65,0.02,1.65,0.02
27,1591.05,1.58,1.56,0.01,1.56,0.02
28,1653.45,1.33,1.33,0.0,1.32,0.01
29,1703.15,1.16,1.16,0.0,1.15,0.01
30,1754.85,1.01,1.01,0.01,0.99,0.03
